,travel_date,ratings,flight_type,flight_class,review_title,review_text,Airline_Company,Airline_Class,Airline_Origin
10, January 2021,1,Domestic,Economy,DO NOT FLY WITH ALLEGIANT!,"This airline is by far one of the worst airlines to use. Not only will they cancel your flight on the SAME DAY you’re supposed to be flying, they’ll also make sure you don’t receive a refund until a WEEK later. Will leave you stranded in an entirely different state. Save your…",Allegiant,low-cost,USA
11, January 2021,1,Domestic,Basic Economy,Do NOT fly this airline,"This airline is absolutely terrible!! Arrived early in the morning to  the airport to find our morning flight was delayed, delayed and delayed. Then cancelled at 5:27 PM. Claims “weather” therefor they have no financial responsibility. Rescheduled for the following day and then…",Allegiant,low-cost,USA
12, December 2020,1,Domestic,Economy,Do not fly Allegiant!,Our flight from PIE to IND was delayed for 8 hours and we were stuck in the St Pete airport with very limited food options. Allegiant had one in person representative available and that was only after a customer asked for someone to be at the gate. We eventually ended up…,Allegiant,low-cost,USA
13, December 2020,5,Domestic,Basic Economy,A lot of bad reviews... most r due to not reading their rules on luggage,Theres a lot of bad reviews. About flights being delayed.... I've never had an issue w a delay over 15mins.... but isn't that common w other flights? Esp in inclement weather? A guy says they dont tell u til u get there if the flights delayed. U pretty much have to use the…,Allegiant,low-cost,USA
14, December 2020,4,Domestic,Basic Economy,Affordable! Direct flights!,This is our 2nd time flying to Las Vegas from Cincinnati.  It is a very small plane. No frills. BUT u cannot beat the value! And u cannot forget the fact its direct flights! Short trips! Less time on the plane! No layovers! I'd fly Allegiant everytime. I'd probably just pay for…,Allegiant,low-cost,USA
15, January 2021,5,Domestic,Basic Economy,Very impressed!,i saw the bad reviews and was super nervous to book a flight with them but they were so much less expensive so i took a chance and i was not disappointed! no problems at all! very happy with the quality plus the great price!,Allegiant,low-cost,USA
16, January 2021,1,Domestic,Economy,Worst Airline Ever,"Every single time I’ve flown Allegiant, it was delayed multiple hours. They have minimal measures in place for covid-19 safety, and they don’t communicate with the passengers until the last minute when there is a delay.",Allegiant,low-cost,USA
17, November 2020,2,Domestic,Economy,Sr,"I payed $50 for the bag, when they weighted it was 45 pound. They charged me another 50 dollar for extra 5 pound. that is ridiculous. Will never fligh with Allegiant again",Allegiant,low-cost,USA
18, December 2020,1,Domestic,Economy,"Allegiant employee told me ""No"" when I asked for help!",I was traveling with my 9 year old son. I couldn't log him online to get his boarding pass. So i walked up ti the ticket counter and asked the only Allegiant employee and asked if she could help and she said no. We ended up missing our flight and was stranded in Memphis. When I…,Allegiant,low-cost,USA
19, December 2020,4,Domestic,Basic Economy,First I don't rate any airline a perfect score because at times the do stupid stuff but none the less.,"I fly Allegiant sometime two or three times a year, just wish they would offer other destinations. You can't beat the price but only would fly them short dist. because they offer nothing complimentery.  Very seldom have they been real late, on tme for me has been outstanding.…",Allegiant,low-cost,USA
20, December 2020,1,Domestic,Economy,Worst Flight,This the worst experience.my roundtrip was delayed each leg of the trip. 3hrs both ways. I will never use them again.,Allegiant,low-cost,USA
21, December 2020,1,Domestic,Basic Economy,Nightmare!!! Stay Away!!! Allegiant left their customers stranded!!!,"When our flight was diverted from Boise due to fog, the Allegiant Air pilot was directed to divert the flight right back to the original departed city.  What was really disheartening was the passengers were returned back to the airport and no one provided any type of information for rescheduling our flight, and there were people stranded with no were to go.  How dare you Allegiant treat your customers with disrespect and leave so many passengers with nowhere to go. In the end, you get what you pay for and I will never fly this airline again! We purchased tickets with Delta Airlines the next day and finally made it home.  Thank you Allegiant for stranding your customers and leaving them to figure out what to do. Shame on you!",Allegiant,low-cost,USA
22, December 2020,1,Domestic,Economy,Customer Services has turned me off from this company,"Horrible customer service!!! I missed a flight due to longer wait times, and was asked to pay a $75 fee to get on the next flight. No big deal, life happens and I understand the fee. I went to make a phone call to my daughter to let her know what is going on, and was told to step to the side until I finish. Again, no big deal. Get everything together to stay another night. Go back to the counter to pay the fee and get on the next day's flight, guess what!? NO ONE WAS AT THE COUNTER!!! My daughter calls customer service, was on hold for 1:30hr for them to hang up on her because she raised her voice out of frustration. She was told there was no $75 fee, just the difference between the ticket prices and it would cost me $198 for a new ticket. That ticket wasn't even $198 on the website. It was $160. By the time my son in law picked me up from the airport (1hr later) there was still NO ONE at the counter to help me. My daughter ended up using a different airline (and that ticket was only $105) to purchase a ticket to get me home. And to be honest, the overall experience with United, was by far better than this disaster I dealt with.",Allegiant,low-cost,USA
23, December 2020,1,Domestic,Basic Economy,A Covid19 nightmare,No distancing! The flight was packed to the brim! If we had another way to get home I never would have boarded this hot covid nightmare. There were no temps taken and masks weren’t being enforced. I will never fly this airline again.,Allegiant,low-cost,USA
24, November 2020,1,Domestic,Basic Economy,Nightmare,"The absolute worst travel experience we've ever had. Will not be using Allegiant Air ever again. Delayed flights, cancelled flights, lost our luggage, and the customer service is so awful. No one gives a crap to help, total incompetence!",Allegiant,low-cost,USA
25, December 2020,1,Domestic,Economy,Terrible X 10 Employees,"Flew to Nashville, spent weekend - wife took 10"" x 8"" thin purse and bag 14"" x 18"" x4"". On return flight, arrogant, condescending young female (NOT a lady by ANY stretch of decency) told my wife she could not carry 2 items though she flew to Nashville with the same 2 items. Wife was putting purse in bag and  vile employee would not let her put her purse in the bag and offered one solution - check the 14x18x4 bag for $50. As I waited from my wife near plane, flight attendants said there was a lot of room in the overheads so no need to scrimp on space - we had the captain go speak on her behalf - he was a coward and turned and ran when the belligerent yelled. Worst service in my lifetime (63 years) of any airline. DO NOT use Allegiants: employees, captains are not good people.",Allegiant,low-cost,USA
26, December 2020,1,Domestic,Basic Economy,COVID not taken seriously,"No temperatures were taken, many people with their nose outside of their masks were not corrected, lots of people eating/drinking on a 2 hr flight.... I used to love allegiant for the price but I do not feel that they take passenger safety seriously. I am done with them.",Allegiant,low-cost,USA
27, December 2020,1,Domestic,Economy,Never again,Sat on a plane for two hours before they told us the plane wasn’t working. Currently stuck at the airport and none of the staff or pilot know what’s going on. Horrible leadership.,Allegiant,low-cost,USA
28, December 2020,1,Domestic,Basic Economy,Awful,"To start, you really aren’t getting a much cheaper fight here. The price may look better than other airlines, but after all the fees, you are only seeing a slight savings over other airlines. A savings that isn’t worth the hassle and poor customer service. Plus, the likelihood of your cost savings being turned into a loss is far greater than on other airlines. Our experience...Our flight was delayed twice before getting an overhead announcement that the flight was being cancelled. I understand things happen, but there was a total disregard for the impact on the passengers. Their solution, either give us a refund credit or reschedule our flight (next flight available to our destination was four days later). The staff didn’t even act like they cared. Scoffed at us as if the other reservation ahead of us weren’t their problem. I blame Allegiant for ruining the surprise trip to Disney for our daughters. I wouldn’t recommend even giving them a chance to ruin your trip. If I have it my way, never again. And I hope this review makes you think twice about choosing them. Just don’t do it. Dear Allegiant,I would have never wrote this review if you would have attempted to make this right with us.  A little effort on your end would have been nice. You’ve cost me hundreds, now I hope this review costs you thousands.",Allegiant,low-cost,USA
29, December 2020,1,Domestic,Economy,The worst airline ever,I will never use Allegiant again. They do NOT CARE ABOUT THEIR CUSTOMERS AT ALL! So due to a previous flight being delayed Allegiant has canceled our flight. The fact that they left us sitting in the airport and the fact that sitting right next to me a person was attacked and taken to the hospital because of stupid people. I feel so sorry for the family and the kids. The employees didn’t even step in until the father was beaten to the point where he had to be taken by ambulance to the hospital! The fact I am missing one of the most important days in my life that cost me thousands of dollars to say I do! No accommodations no help! I am out hotel fees for a hotel I am not using and then to get another one! Not to mention that we have to get a rental car to get to another hotel for the night is just ridiculous! ￼so the employees there telling everyone there is nothing they can do to call Allegiant. Now mind you I waited on hold with customer service for hour and half to be told there is nothing they can do other than refund my money for the flight which is 7-10 days for the refund! So I can’t even get a flight on another airline! This airline is a joke! Thanks for ruining everything Allegiant! If I could give you 0 stars I would!,Allegiant,low-cost,USA
30, February 2020,1,Domestic,Basic Economy,Worst. Flight. Ever,"The flight attendants were horribly rude, and didn't give a crap about how the passengers were treated. While i was boarding, one of the attendants yelled at me for not knowing if a stowaway was full or empty (They were ALL closed, so how was i supposed to know?) and proceeded to give me a ""lesson"" about how storage works. I dont give a damn about storage. I just wanted to get to my destination.The seats were awfully uncomfortable and the tray tables could varely fit my phone. Ruined my experience with the flight attendence nagging at me, but thankfully i barely arrived at my destination.",Allegiant,low-cost,USA
31, December 2020,2,International,Basic Economy,spam,"I flew Allegiant one time earlier in the year.  Since then I have been bombarded with spam email from them.  I have unsubscribed  numerous times, but it just keeps coming.  Due to this I will not fly with them again.",Allegiant,low-cost,USA
32, December 2020,5,Domestic,Basic Economy,very impressed!,"i was nervous to fly with allegant after seeing terrible reviews but their flight was significantly less expensive than everyone else and was a straight flight. very happy with the trip!!  left on time for both flights, they weren't psychotic about masks (they require  them but i kept lowering mine and nothing was said) veey nice staff and clean plane!",Allegiant,low-cost,USA
33, December 2020,1,Domestic,Basic Economy,"Worst airline ever, don't waste your time or money.","I've been delayed a few times with Allegiant in the past, and have only flown with them a few times. This time we get to the desk to check our bags and they say ""did you hear your flight is delayed? Your plane hasn't left it's last destination yet."" So we check our bag which was 48lbs (we made sure it was under 50, which was hard) and they still charged us $50 because we were over their 40lb limit. Of course figured it was just like every other airline that allows 50lbs. Even with our flight being super delayed they wouldn't waive the fee. So we leave our bag with them and go through security to get dinner and wait for our flight. As we're eating we get the notification that our flight has been canceled. We go back to the desk to get our bag and they wouldn't give us a reason why the flight was delayed and also said their computers are slow so we're going to have to call 1-800 to get our refund. The app only gives a refund to credit. They only fly to our destination 2x per week we had to get to our family for early Christmas and for my work. We finally after a few hours end up booking a flight through Southwest, which was more expensive of course than our original flight. We also had to get a hotel that night. When we call 1-800 to get a refund we ask if they'll reimburse us for the extra $400 we had to spend for our flight and hotel and they wouldn't even entertain the idea. WORST AIRLINE EVER. Never using them ever again. I can't believe they're still in business. Do us all a favor Allegiant and shut down your terrible airline services.",Allegiant,low-cost,USA
34, December 2020,1,Domestic,Basic Economy,Last minute cancelation,"Our flight was canceled the morning it was scheduled with no alternative to anywhere near. We did fly round trip originally from palm springs to Boise was canceled 1 week prior, ended up đriving to Phoenix,AZ to fly out(this although inconvenient was forgivable as it was 1 week prior). But unless related to weather(which this was not) have I ever been canceled same day. The price is not worth the hassle. The bags you pay to be checked maximum weight is 40lbs this too is very inconvenient and is not clearly marked. I had no problems with customer service just reliability. I will never fly with this airline again!",Allegiant,low-cost,USA
35, December 2020,1,Domestic,Economy,Terrible customer service,"After standing in line for what is seemed an eternity, what I thought it was a good deal turned out it was as bad as spirit airlines, the same nickel and dime game, the hidden charges and surprises are endless, not not mention lower bag weigh limits, uncomfortable seats, no wifi or entertainment and to top it all off ridiculous expensive snacks on board. I will never flight this airline again, I thought I was saving some money, in the end turned out to be more expensive that any other airline.I strongly recommend you find another airline to give your money to.",Allegiant,low-cost,USA
36, October 2020,1,Domestic,Economy,Awful Service Awful Airline,The flight line is literal dog crap and i wouldn’t waste my money on it again. Find a different airline if you’re considering this one.,Allegiant,low-cost,USA
37, July 2020,1,Domestic,Economy,Flyer Beware!,"My wife and I were preparing to go through the TSA checkpoint in the Springfield-Branson airport, and the operator there indicated that we had to have checked in. We arrived about on hour before our morning flight and there were only a handful of travelers in the Airport. We turned in our rental car and about 45 minutes out there wasn't anyone at the Allegiant counter. I went to pull up the app to check in and it said boarding for the flight was closed. I asked the operator of security to tell them that we had a prepaid return flight on Allegiant and he sent someone who was advised that although they were continuing to board, Allegiant turns off PC access to the flight 45 minutes in advance so we were denied check in and boarding. When I called Allegiant Air and asked for another flight they said I cannot have credit toward another flight. in over 40 years of travel this is the first time that I have experienced an Airline stop checking in passengers 45 minutes from flight departure time, not deny credit toward a later flight. So Flyer buyer beware. As for me, as long as they do not give me credit toward a flight and keep this policy, I will never book a flight via Allegiant Air again.",Allegiant,low-cost,USA
38, December 2020,1,Domestic,Economy,Horrible,"The fact that no one gives two effs about reviews is what does it for me, if they did they wouldn't have so many bad reviews. This one goes to that nikolet or nicole however you spell your name. Choose a different job, you having a condescending and disgusting attitude shows how much you care about your job. You live and you learn right? luckily it'll be my first and last time flying with them. Absolut TRASH.",Allegiant,low-cost,USA
39, December 2020,1,Domestic,Basic Economy,This airline is absolutely Horrible,I fly almost every two or three weeks I go through them EVERY TIME I GO it's a horrible time the employee are very rude and disrespectful the in flight is always good just getting to the plane I'm about ready to just go through another airline i can't take it anymore I don't deserve rude employees to talk to me very disrespectful I'm just tired EVERY TIME there is always a rude employee do not go through this airline,Allegiant,low-cost,USA
40, December 2020,1,Domestic,Basic Economy,DO NOT BUNDLE unless you're prepared to pay,"For the first time, we booked a rental car as part of the bundle package. Paid at the time of booking. When I arrived to pickup my rental car, I was hit with $124 in ADDITIONAL fees. Yes, they say you will be chareged taxes, surcharges, etc, but over $100 is insane. It would have been cheaper to rent the car privately through alamo, budget, or enterprise.",Allegiant,low-cost,USA
41, October 2020,1,Domestic,Economy,Extra Fees,"Because of COVID-19, many airlines have become more flexible with flight changes and cancellations. In Allegiant's case, they have shown nothing about their customer's well-being, and pack each aircraft. It is astonishing to see how little they care, I have tried to switch my flight for another date, and they refused to switch my date without charging me a $41 fee. The staff there are so friendly, but the way that this company is managed is awful and they only care about the money at the end of the day. 0/10",Allegiant,low-cost,USA
42, April 2020,1,Domestic,Economy,Horrible,"Horrible airline.  Paid for seats and did not even get to sit in them on the flight going and flight returning.  38 minutes before boarding everyone receives and email are plan is delayed. Was suppose toBe a direct flight. They sent a plane from Buffalo NY halfway filled already and told us when boarding find a empty seat to sit. What happened to following covid. Policies?  No this was not because a plane broke down, this was to save money since many people are not flying. On the way back from Florida the same thing accrued suppose to have a direct flight. They flew past our airport to go to Buffalo to drop people off the. And hour back to out destination. Again 40 minutes before boarding we find out. Called and called customer service no response back. Absolute crappy customer service. Spend the extra $50 and get a real flight with no hassle.",Allegiant,low-cost,USA
43, January 2020,1,Domestic,Economy,Credit Voucher worthless,"I booked a flight in December 2019 to Florida for April 2020.  My flight was cancelled by Allegiant.  They gave me a credit voucher with an expiration date of December 2020.  I tried to use the voucher by booking another flight in late November 2020.  When I put the voucher in, for the first time, I was told that it could only be used on travel that was completed by the expiration date.  This voucher was issued in April 2020.  There was not statement indicating that it had to be for travel between April and December 2020.  I have been trying for nearly 5 days to reach Allegiant.  I sent an email 5 days ago with no response as of now.  I have called the phone number and been on hold for nearly 45 minutes before I had to hang up because I can't spend all day on hold.  I have tried their chat function but am always greeted with ""No agent is available"".  I attempt to call and chat with them 2x/day.  Nothing.  I am very concerned that I will loose my $ and I didn't even cancel the flight, Allegiant did.  I see a consumer protection complaint in my future if I don't reach them and get this rectified.",Allegiant,low-cost,USA
44, November 2020,1,Domestic,Economy,Horrible Customer Service  and Care,"Cancelled flights and LONG waits! As a courtesy for their own mistakes, we received 2 $50 vouchers. However, due to COVID-19, those vouchers had to be extended which, I had to FIGHT for taking several hours of my personal time and MUCH headache! No one should ever have to fight to use vouchers which were a courtesy for their own mistakes!! Ridiculous. I would rather pay the full price then deal with this POOR customer service and skip the stress and headache. On top of that, the plane was filthy and uncomfortable! They didn't even take the time between flights to clean. Not flying with this airline again!",Allegiant,low-cost,USA
45, November 2020,1,Domestic,Economy,Worst airline ever,"I’ve flown with allegiant airlines multiple times and this was the by far the worst, I will not be flying with the allegiant ever again..They will find ways to charge you for anything on luggage",Allegiant,low-cost,USA
46, November 2020,1,Domestic,Basic Economy,I paid for seats and we were separated during pandemic,"I want a refund on my seats that I purchased. Not only was I forced to sit somewhere else, I was separated from my children AND sat next to strangers which Increased my risk for getting COVID! I paid for seats and I never got to sit in them and sat next to some guy coughing and sneezing. I PAID FOR SEATS!!! My children were all separated from each other and also were exposed to strangers! I paid $20 per seat so we could be together and in the front  row so we could have less exposure to possibly infected people and not walk past people in isles. You lost my business and my families business forever! Even if you had a free flight,  I wouldn’t take it! if I have to pay for sears that I were taken. Oh and then on top of that, you added a stop to a non stop flight! During a pandemic,, with no informed consent. I flew non stop so we’d would have one plane full of passengers ,  not two, .which doubled our exposure to passengers. The stop deplaned most of the passengers and then a you filled the plane with new passengers. Statistically added the number of passengers infected with the virus which is certain someone had it in a population of 200 during a 3rd wave.  If Each of us were able to sit with our household members because I PAID for the seats then it would have been safer.  Pretty simple concept that when you pay for seats, you are able to sit in them. The flight attendants did NOT enforce the masks rule either.  I want someone to contact me about making a purchase and never getting what I paid for and being forced to sit I random seats, separated during a pandemic. I paid and not only got nothing but also eliminated my attempt to mitigate the Covid risks for all three of us.",Allegiant,low-cost,USA
47, November 2020,5,Domestic,Economy,Very Pleasant Flight Attendant,Busy holiday weekend.  Lourdes (Lulu) was very friendly and welcoming.  Helped me store my heavy luggage.  I use Allegiant often and appreciate staff like Lourdes!  Thank you!,Allegiant,low-cost,USA
48, October 2020,1,Domestic,Basic Economy,DO NOT FLY WITH ALLEGIANT,"This airline is by far the worst airline. The first time I flew with them flight delayed for over 4 hours. I decided to give them one more chance. I was to fly from St. Pete to Memphis. I flew from Memphis to St. Pete to even get there. Same carry on bag and same personal item. However, when I was boarding the plane the flight attendant told me that I would have to check in my carry on because it didn’t fit the dimensions. No big deal. Sure, I’ll check it in. I told her I needed to find my card. She said I had 2 mins. I’m looking for my card and she’s pretty much going ahead to close the door. She had no intentions on giving me time to find it and proceeded to close the door. I didn’t make a fuss about it at the gate but I proceeded to go to customer service to rebook. The lady FOLLOWS me to the counter to harass me. I was dealing with one guy and she had him move out of the way so she can come harass me. I wish I could make this up. She proceeds to tell me that there’s not a flight until Monday or there’s a flight to Knoxville I can take tomorrow. (Knoxville is 6 hours away from my destination). And proceeds to tell me I will have to pay $75. I was not going to stand there and be harassed and sooo asked the male agent who originally was standing there if there was a customer service line I could call. Then I left. Called the customer service line. Was on hold for 30 mins before getting an agent to tell me there’s nothing he can do either (apparently harassment lady made notes he was reading that were not even remotely close to what ACTUALLY happened). And so I asked to speak to a manager. I was like you can watch the cameras and see what actually happened because I never yelled, cussed at anyone or even got out of character for this lady. Who has time for all of that honestly. Customer service proceeded to tell me they have no managers on site and that I would have to go to their website and press “contact us” and they will get back to me within 4-6 WEEKS  in order of email. Lol OKAY 👌🏽 great. Also the customer service agent offered to rebook me a flight from Fort Lauderdale at 3:00 pm (😆😂) note when I got an agent on the phone it was 3:12 pm already. I’m like so you’re offering to rebook me on a flight that has already left. He’s like well I don’t know what time zone you’re calling me from... ohhh but you asked for my ticket information that already told you where I was located to get my flight rebooked. Needless to say, customer service also was no help. I either had to leave on Monday (which was their next flight to my destination) or else I forfeit my funds for that flight. Also they were still making me pay a $75 change fee despite it not being a cancellation or no show as their policy states in their terms or conditions. I needed to leave sooner than Monday sooooo I booked a flight with my favorite airline Southwest. They literally have the best customer service. The best gate agents. Flight attendants. And I travel a lot in general and this was probably the worst customer service all around as a company. You call allegiant customer service and it says they have waived all change flight fees etc as the wait time “music” and here you are trying to charge me a change flight fee. Like WHAT? For a flight I can’t even take. That was at the point I realized talking to him and everyone else was a lost cause with this company. Never met such terrible customer service in all my life. Just going to call that flight a loss of money and they gave me a voucher for my checked bag soooo if anyone wants it happy to give it to you!!! I wIll not fly with this airline again unless I’m desperate desperate.",Allegiant,low-cost,USA
49, November 2020,1,Domestic,Basic Economy,If I could give them no filled in bubbles..they would get nada.,"OMG avoid like the plague, the most foul mouthed flight attendants you will ever encounter. The plane has so many safety issues and its dirty. The plane was disgusting. I overheard one flight attendant tell a passenger that if she asked to use the bathroom one more time they would throw her off the plane. If that was me I would have took it to the top.My friends and family know of my situation and they promised me they would tell their friends not to fly either. Spread the word...The positive reviews are fake as hell too. they gotta be. Don't believe me. Buy the ticket take the ride.PS there is no tray table. You will see what I am saying if you fly. lol Enjoy.",Allegiant,low-cost,USA
50, November 2020,1,Domestic,Economy,Never use this airline!,"Coming back, had a 5 hour weather delay.... they blamed the weather.  Wasn't raining in Cincinnati or St. Petersburg, nor were there any storms.  Did not offer any vouchers for the long wait.  All they offered was ""free water"" on the aircraft, all for a 5 hours wait.  If you want to buy a soda on the plane, it is $3, and they fill the cup full of ice.  Departure desk person spoke so fast, you couldn't understand her when she made announcements.  I will NEVER fly this airline again.",Allegiant,low-cost,USA
51, November 2020,1,Domestic,Economy,Jerk Gate agent,the gate agent was super rude i had two bags that i combined and it was just 3 inches taller and they wouldn't allow it I ended up getting it 3 inches smaller and they said it was too wide now the entire time speaking in condescending tones i didnt reply back and he kept talking i ended up paying 50$ for my bag after him saying told you And the best part is getting on the plane and there were plenty of Empty seats all over and I had to pay for it  what a joke,Allegiant,low-cost,USA
52, November 2020,1,Domestic,Economy,Bad Trip,This was the worst experience I have ever had with an airline. The flight going was uneventful the seats were smaller but I felt for the price that was a small setback. The check in returning to Memphis was disappointing and truamatic. The check in people were ride and unhelpful. There were three of us and one got to the airport an hour and a half early...the other two got there at 40 minutes prior to take off due to unforeseen circumstances. In essence we were told it would take to long to board..so we could be book two days later and add $75 per person. We asked if they could assist us in finding another flight in another airline they advised that they could not do that and the two day delay and extra money was it and all five of them turned and started playing around laughing and left us at the counter. They did not show compassion nor people skills. We went to American airlines and we're treated like true customers. Although we had to pay an extra $400 and stayed the night at the airport we were content. The leg room was better and the luggage policy was alot better. I will never fly Allegient again no matter how inexpensive they are.,Allegiant,low-cost,USA
53, November 2020,1,Domestic,Basic Economy,THE ABSOLUTE WORST,"The customer service is horrendous. So rude, so unhelpful..in fact the opposite. Will go out of their  way to Give you a hard time just because. Miserable staff who hate their job and life in general. If you want to miss your flight, lose luggage, have to check unnecessary stuff( just to charge you) or simply have your day or possibly even your whole trip ruined then go here. Oh, and no refunds for suffering their hell, dispute it with your bank I wouldn't give them a dime by choice ever again I'd rather shave my head with a butterknife. If you thought checking your bag was the end of them inflicting misery on you, just wait for the flight to recieve the worst treatment you've ever endured, and with a nasty attitude. Youd be lucky to see your luggage on that belt after you land, that would be the holy grail of your suffering. You will undoubtedly regret flying with this airline. Do yourself a favor, book with southwest and have yourself a good ol' pleasant time where everyone is happy laughing and helpful.",Allegiant,low-cost,USA
54, November 2020,1,Domestic,Economy,Absolutely horrible on all accounts,"Honestly, I could write a lot of problems with the service/ flight / everything. Just pay a little more and choose a different flight. Don’t even bother with this airline. I’m actually shocked that they’re still in business after my experience with them.",Allegiant,low-cost,USA
55, November 2020,1,Domestic,Basic Economy,Terrible customer service,Our flight was delayed 10 hrs causing us to lose a whole day of vacation. We had to pay for an rv that we reserved because we had basically 2 hrs notice about the delay and the rv place was closed by the time we got there. We had to rush to find a hotel at the last minute therefore spending more money that we hadn't planned on spending. The airline has advised that there will not be any compensation. I am beyond angry and disappointed in their terrible customer service and lack of empathy for the passengers of this flight. Unacceptable,Allegiant,low-cost,USA
56, October 2020,1,Domestic,Economy,Cancelled Flight,"Cancelled flight hours before take off.  I was heading to Vegas for a Marathon.  Been training all summer!  This was a special race during Covid-19 times.  All precautions were being taken, therefore the entry fees weren't cheap.  Absolutely devistating on all levels.  I got an automated call from Allegiant, ""Sorry for the inconvenience, hope you'll fly with us again"".  Allegiant should make a personal effort to make things right or at least better!  No refund, voucher only.  No help with other incurred expenses.  This hurts!!!",Allegiant,low-cost,USA
57, October 2020,1,Domestic,Economy,Flight cancelled,"So frustrated!!  Planned a trip to Vegas for a race, which I spent a summer preparing for.  Flight was cancelled hours before take off.  No way to make the race!!  Lost entry fees and the experience.  No help from Allegiant!!",Allegiant,low-cost,USA
58, October 2020,2,Domestic,Basic Economy,Covid 19 Friendly-not safe!,"I flew on Allegiant from SGF to Clearwater/St. Pete FL. I found it appalling that I nor any other passenger was ever asked at ticketing or at the gate if they had any symptoms, had been near anyone with Covid etc. Nothing came to me on an email when I checked in as well. There was no social distancing on the flight and I was seated in between two other passengers. It does not seem Allegiant is taking Covid very seriously nor being very responsible in screening nor seating passengers.",Allegiant,low-cost,USA
